code,parent_code,name,region_type,center_lat,center_lng
11,,서울특별시,si-do,37.56487638055266,126.97413944268415
11110,11,종로구,si-gun-gu,37.59909735872199,126.98613194378919
11110101,11110,청운동,eup-myeon-dong,37.589026361177524,126.96849739178043
11110102,11110,신교동,eup-myeon-dong,37.58443997392524,126.96768138420924
11110103,11110,궁정동,eup-myeon-dong,37.58490472104553,126.97239117462786
11110104,11110,효자동,eup-myeon-dong,37.58270160563704,126.97187980980084
11110105,11110,창성동,eup-myeon-dong,37.58057098058171,126.97234934177737
11110106,11110,통의동,eup-myeon-dong,37.57799676594817,126.9727058213769
11110107,11110,적선동,eup-myeon-dong,37.57528314095251,126.97392127488646
11110108,11110,통인동,eup-myeon-dong,37.57981550888792,126.97004794664059
11110109,11110,누상동,eup-myeon-dong,37.58023454257433,126.96235517972858
11110110,11110,누하동,eup-myeon-dong,37.57936039736319,126.96798823716075
11110111,11110,옥인동,eup-myeon-dong,37.583550521443854,126.9641763072342
11110112,11110,체부동,eup-myeon-dong,37.577860606449946,126.97102086977813
11110113,11110,필운동,eup-myeon-dong,37.57687777623824,126.96768734230197
11110114,11110,내자동,eup-myeon-dong,37.57527465504708,126.9718102500147
11110115,11110,사직동,eup-myeon-dong,37.57538181543057,126.96580903861243
11110116,11110,도렴동,eup-myeon-dong,37.57272254318963,126.97466173940052
11110117,11110,당주동,eup-myeon-dong,37.57157684900555,126.97380954897368
11110118,11110,내수동,eup-myeon-dong,37.57336454938161,126.97208503321832
11110119,11110,세종로,eup-myeon-dong,37.57948599650203,126.97698978699361
11110120,11110,신문로1가,eup-myeon-dong,37.57037081145937,126.97405642043107
11110121,11110,신문로2가,eup-myeon-dong,37.57102899748073,126.9692346346586
11110122,11110,청진동,eup-myeon-dong,37.57153388567613,126.98027763452251
11110123,11110,서린동,eup-myeon-dong,37.569499620096636,126.98029244335196
11110124,11110,수송동,eup-myeon-dong,37.57385814934358,126.98056348458461
11110125,11110,중학동,eup-myeon-dong,37.5751923492373,126.97993610451678
11110126,11110,종로1가,eup-myeon-dong,37.57069254497024,126.98031821165074
11110127,11110,공평동,eup-myeon-dong,37.571323016862834,126.98321590683229
11110128,11110,관훈동,eup-myeon-dong,37.57415628168732,126.98477951233943
11110129,11110,견지동,eup-myeon-dong,37.573732340063884,126.9830776880591
11110130,11110,와룡동,eup-myeon-dong,37.580911027953135,126.99272520345457
11110131,11110,권농동,eup-myeon-dong,37.57610595760008,126.9917372647596
11110132,11110,운니동,eup-myeon-dong,37.576389243915884,126.98829724430155
11110133,11110,익선동,eup-myeon-dong,37.57422960102716,126.98969245470488
11110134,11110,경운동,eup-myeon-dong,37.57524427789488,126.9863850864462
11110135,11110,관철동,eup-myeon-dong,37.569194579897925,126.98588875918452
11110136,11110,인사동,eup-myeon-dong,37.5720563323042,126.98593646970923
11110137,11110,낙원동,eup-myeon-dong,37.57255154957564,126.98860441070345
11110138,11110,종로2가,eup-myeon-dong,37.570759474008256,126.98628763466198
11110139,11110,팔판동,eup-myeon-dong,37.58272685543855,126.98056043924953
11110140,11110,삼청동,eup-myeon-dong,37.58987565525425,126.98136080737399
11110141,11110,안국동,eup-myeon-dong,37.57747405583767,126.98382765268431
11110142,11110,소격동,eup-myeon-dong,37.57978265222554,126.98099397309389
11110143,11110,화동,eup-myeon-dong,37.58068332011476,126.98259075119137
11110144,11110,사간동,eup-myeon-dong,37.577233348234884,126.98056103775357
11110145,11110,송현동,eup-myeon-dong,37.57704379145523,126.9819104459732
11110146,11110,가회동,eup-myeon-dong,37.582803677278065,126.98484466733215
11110147,11110,재동,eup-myeon-dong,37.57815665213941,126.98523456612803
11110148,11110,계동,eup-myeon-dong,37.58290205098462,126.986857039482
11110149,11110,원서동,eup-myeon-dong,37.58418014185801,126.9880665341195
11110150,11110,훈정동,eup-myeon-dong,37.5742165331946,126.9940520991158
11110151,11110,묘동,eup-myeon-dong,37.572549842895505,126.99182375402863
11110152,11110,봉익동,eup-myeon-dong,37.57237096771119,126.99299698224084
11110153,11110,돈의동,eup-myeon-dong,37.572029174011604,126.99062605372013
11110154,11110,장사동,eup-myeon-dong,37.56923436817914,126.99423266990462
11110155,11110,관수동,eup-myeon-dong,37.56905838629745,126.99043009070506
11110156,11110,종로3가,eup-myeon-dong,37.570379640066186,126.99237224368662
11110157,11110,인의동,eup-myeon-dong,37.57262706728706,126.99800204484279
11110158,11110,예지동,eup-myeon-dong,37.56950429180742,126.99844137390022
11110159,11110,원남동,eup-myeon-dong,37.575481615200644,126.99762783057545
11110160,11110,연지동,eup-myeon-dong,37.573743642644104,127.00010216381754
11110161,11110,종로4가,eup-myeon-dong,37.570688653467144,126.99795933946947
11110162,11110,효제동,eup-myeon-dong,37.57334017231326,127.00345352933724
11110163,11110,종로5가,eup-myeon-dong,37.57072843709108,127.00333170806974
11110164,11110,종로6가,eup-myeon-dong,37.57223952558343,127.00725626369969
11110165,11110,이화동,eup-myeon-dong,37.57732202221814,127.00545495308386
11110166,11110,연건동,eup-myeon-dong,37.57848590035501,126.99965719928761
11110167,11110,충신동,eup-myeon-dong,37.574763473885426,127.00590224107755
11110168,11110,동숭동,eup-myeon-dong,37.581605860832454,127.00515265717526
11110169,11110,혜화동,eup-myeon-dong,37.58781970940089,127.00230364104574
11110170,11110,명륜1가,eup-myeon-dong,37.58895123895271,126.99738664508754
11110171,11110,명륜2가,eup-myeon-dong,37.58461530431862,126.99915561210317
11110172,11110,명륜4가,eup-myeon-dong,37.58238832657946,126.99978776250764
11110173,11110,명륜3가,eup-myeon-dong,37.587307353932054,126.99305119705534
11110174,11110,창신동,eup-myeon-dong,37.57599897872801,127.01350726086292
11110175,11110,숭인동,eup-myeon-dong,37.576671538452494,127.01904961988537
11110176,11110,교남동,eup-myeon-dong,37.56843148236407,126.9644592691217
11110177,11110,평동,eup-myeon-dong,37.56767090137831,126.96681739525184
11110178,11110,송월동,eup-myeon-dong,37.57017777169543,126.96529066174301
11110179,11110,홍파동,eup-myeon-dong,37.57115696472413,126.9641360261089
11110180,11110,교북동,eup-myeon-dong,37.57142449292712,126.96128962476013
11110181,11110,행촌동,eup-myeon-dong,37.574483872563576,126.96263624804645
11110182,11110,구기동,eup-myeon-dong,37.617950061921306,126.96214345939055
11110183,11110,평창동,eup-myeon-dong,37.613964844225585,126.97428348661457
11110184,11110,부암동,eup-myeon-dong,37.593493931610936,126.96726735224459
11110185,11110,홍지동,eup-myeon-dong,37.60057757440506,126.95676666174344
11110186,11110,신영동,eup-myeon-dong,37.60305005607938,126.9617862876862
11110187,11110,무악동,eup-myeon-dong,37.57679116404997,126.9582116624536
11140,11,중구,si-gun-gu,37.557939871241885,126.99417336148036
11140101,11140,무교동,eup-myeon-dong,37.56805904921863,126.97885435385996
11140102,11140,다동,eup-myeon-dong,37.56787744474672,126.98117796745237
11140103,11140,태평로1가,eup-myeon-dong,37.56756374153496,126.97736754375218
11140104,11140,을지로1가,eup-myeon-dong,37.56590095683147,126.98055445713273
11140105,11140,을지로2가,eup-myeon-dong,37.56571250267322,126.98624368624279
11140106,11140,남대문로1가,eup-myeon-dong,37.567590345127726,126.98309539066467
11140107,11140,삼각동,eup-myeon-dong,37.567926207708126,126.98477598526047
11140108,11140,수하동,eup-myeon-dong,37.56741314398323,126.9846246517516
11140109,11140,장교동,eup-myeon-dong,37.56748004373937,126.98703914354152
11140110,11140,수표동,eup-myeon-dong,37.5674647038727,126.98941673673292
11140111,11140,소공동,eup-myeon-dong,37.56389455412945,126.9799711132564
11140112,11140,남창동,eup-myeon-dong,37.55806620535995,126.97757966274838
11140113,11140,북창동,eup-myeon-dong,37.56248418725818,126.97823279154967
11140114,11140,태평로2가,eup-myeon-dong,37.56323342479323,126.97638890545949
11140115,11140,남대문로2가,eup-myeon-dong,37.56386089674744,126.98202205979919
11140116,11140,남대문로3가,eup-myeon-dong,37.5616667966019,126.97942069280782
11140117,11140,남대문로4가,eup-myeon-dong,37.56069005653917,126.9754848721963
11140118,11140,남대문로5가,eup-myeon-dong,37.55636636235038,126.97628354189506
11140119,11140,봉래동1가,eup-myeon-dong,37.55890797488672,126.9729436703402
11140120,11140,봉래동2가,eup-myeon-dong,37.55674535844848,126.97132587809412
11140121,11140,회현동1가,eup-myeon-dong,37.55715541622763,126.98168253898908
11140122,11140,회현동2가,eup-myeon-dong,37.55851524927972,126.98274280376951
11140123,11140,회현동3가,eup-myeon-dong,37.56005749926656,126.98407548278007
11140124,11140,충무로1가,eup-myeon-dong,37.56102486933409,126.98262178319237
11140125,11140,충무로2가,eup-myeon-dong,37.56175350680017,126.9877274690204
11140126,11140,명동1가,eup-myeon-dong,37.5644501547131,126.98445283275373
11140127,11140,명동2가,eup-myeon-dong,37.56300848352419,126.98526978667674
11140128,11140,남산동1가,eup-myeon-dong,37.55917770875016,126.98470034109882
11140129,11140,남산동2가,eup-myeon-dong,37.558323410059955,126.9858657045178
11140130,11140,남산동3가,eup-myeon-dong,37.55999869324549,126.98736458682004
11140131,11140,저동1가,eup-myeon-dong,37.56424819219876,126.98787250995677
11140132,11140,충무로4가,eup-myeon-dong,37.56230846922987,126.99595818838789
11140133,11140,충무로5가,eup-myeon-dong,37.56257883352367,126.99957302041689
11140134,11140,인현동2가,eup-myeon-dong,37.56414151196773,126.99625460741287
11140135,11140,예관동,eup-myeon-dong,37.56408008314081,126.99802102663303
11140136,11140,묵정동,eup-myeon-dong,37.561446846061195,127.00052648748647
11140137,11140,필동1가,eup-myeon-dong,37.56114464692123,126.99239509284726
11140138,11140,필동2가,eup-myeon-dong,37.55778884027572,126.99495882357523
11140139,11140,필동3가,eup-myeon-dong,37.55775283872498,126.99735760279066
11140140,11140,남학동,eup-myeon-dong,37.56052211052512,126.99089213672727
11140141,11140,주자동,eup-myeon-dong,37.56064913241771,126.98937770972583
11140142,11140,예장동,eup-myeon-dong,37.555176115494284,126.98975855832896
11140143,11140,장충동1가,eup-myeon-dong,37.561034484346635,127.00762366230651
